position,cell_value,face1,face2,face3,face4
A1,71,0.88,0.09,0.75,0.73
A2,57,0.97,0.99,0.80,0.25
A3,80,0.19,0.76,0.49,0.04
A4,2,0.50,0.72,0.96,0.60
A5,45,0.66,0.27,0.31,0.26
A6,51,0.21,0.17,0.82,0.35
A7,34,0.22,0.63,0.90,0.50
A8,83,0.50,0.87,0.99,0.47
A9,79,0.87,0.04,0.28,0.67
A10,96,0.82,0.81,0.40,0.37
A11,22,0.38,0.93,0.07,0.44
A12,15,0.86,0.33,0.41,0.69
A13,80,0.65,0.66,0.54,0.49
A14,56,0.02,0.39,0.81,0.81
A15,43,0.11,0.75,0.81,0.08
A16,0,0.88,0.92,0.22,0.53
A17,79,0.42,0.79,0.50,0.94
B1,0,0.58,0.93,0.73,0.03
B2,34,0.30,0.46,0.07,0.13
B3,0,0.39,0.31,0.68,0.25
B4,32,0.48,0.08,0.35,0.26
B5,64,0.28,0.01,0.76,0.61
B6,52,0.34,0.81,0.05,1.00
B7,16,0.72,0.56,0.06,0.17
B8,54,0.09,0.85,0.08,0.42
B9,51,0.36,0.40,0.30,0.30
B10,73,0.09,0.22,0.51,0.87
B11,3,0.87,0.82,0.26,0.10
B12,70,0.15,0.17,0.38,0.60
B13,47,0.29,0.06,0.78,0.21
B14,54,0.67,0.97,0.74,0.76
B15,61,0.93,0.19,0.10,0.37
B16,57,0.72,0.72,0.07,0.22
B17,99,0.64,0.13,0.64,0.59
C1,94,0.39,0.81,0.47,0.24
C2,61,0.83,0.47,0.14,0.33
C3,78,0.61,0.58,0.07,0.44
C4,7,0.30,0.57,0.77,0.09
C5,40,0.38,0.61,0.84,0.57
C6,61,0.53,0.98,0.61,0.19
C7,16,0.16,0.21,0.89,0.00
C8,88,0.18,0.73,0.60,0.19
C9,87,0.97,0.22,0.71,0.36
C10,49,0.64,0.80,0.40,0.88
C11,68,0.12,0.72,0.68,0.60
C12,16,0.15,0.10,0.09,0.14
C13,37,0.06,0.94,0.05,0.87
C14,35,0.19,0.45,0.83,0.72
C15,8,0.47,0.69,0.04,0.57
C16,67,0.81,0.61,0.99,0.14
C17,0,0.49,0.57,0.70,0.51
D1,79,0.49,0.39,0.20,0.09
D2,73,0.03,0.96,0.49,0.57
D3,34,0.59,0.90,0.26,0.80
D4,32,0.65,0.57,0.67,0.01
D5,58,0.62,0.31,0.80,0.67
D6,73,0.03,0.38,0.13,0.25
D7,16,0.40,0.11,0.62,0.56
D8,46,0.97,0.73,0.92,0.07
D9,7,0.34,0.35,0.06,0.88
D10,58,0.27,0.21,0.37,0.22
D11,78,0.81,0.80,0.13,0.35
D12,1,0.27,0.40,0.96,0.19
D13,85,0.74,0.31,0.72,0.85
D14,33,0.66,0.58,0.89,0.69
D15,17,0.51,0.79,0.96,0.45
D16,1,0.37,0.74,0.39,0.46
D17,58,0.54,0.30,0.38,0.63
E1,46,0.96,0.31,0.17,0.56
E2,50,0.14,0.33,0.49,0.78
E3,30,0.01,0.36,0.23,0.08
E4,42,0.14,0.97,0.09,0.95
E5,33,0.67,0.15,0.87,0.18
E6,25,0.21,0.14,0.61,0.46
